"SiteURL","Library","FileName","FileRef","SizeMB","Modified","ModifiedBy","Created","CreatedBy","TypeofFile"
"https://printricityspo-my.sharepoint.com/","Style Library","AudioPreview.png","/Style Library/Media Player/AudioPreview.png","0","1/15/2026 12:00:27 PM","","2026-01-15T12:00:26Z","",
"https://printricityspo-my.sharepoint.com/","Style Library","VideoPreview.png","/Style Library/Media Player/VideoPreview.png","0","1/15/2026 12:00:27 PM","","2026-01-15T12:00:27Z","",
"https://printricityspo-my.sharepoint.com/","Style Library","MediaWebPartPreview.png","/Style Library/Media Player/MediaWebPartPreview.png","0","1/15/2026 12:00:27 PM","","2026-01-15T12:00:27Z","",
"https://printricityspo.sharepoint.com/","Documents","a4_metrolinkmap_railwayorder.png","/Shared Documents/a4_metrolinkmap_railwayorder.png","0.32","3/9/2026 2:53:16 PM","KevinByrne@printricityspo.onmicrosoft.com","2026-03-09T14:53:16Z","KevinByrne@printricityspo.onmicrosoft.com",
"https://printricityspo.sharepoint.com/","Documents","metrolink-concept-engineering-design-report.pdf","/Shared Documents/metrolink-concept-engineering-design-report.pdf","14.88","3/9/2026 2:55:25 PM","KevinByrne@printricityspo.onmicrosoft.com","2026-03-09T14:55:30Z","KevinByrne@printricityspo.onmicrosoft.com",
"https://printricityspo.sharepoint.com/","MetroLink","a4_metrolinkmap_railwayorder.png","/MetroLink/a4_metrolinkmap_railwayorder.png","0.32","3/4/2026 12:19:52 PM","KevinByrne@printricityspo.onmicrosoft.com","2026-02-27T14:08:18Z","KevinByrne@printricityspo.onmicrosoft.com",
"https://printricityspo.sharepoint.com/","MetroLink","metrolink-concept-engineering-design-report.pdf","/MetroLink/metrolink-concept-engineering-design-report.pdf","14.88","3/4/2026 12:20:11 PM","KevinByrne@printricityspo.onmicrosoft.com","2026-02-27T14:09:39Z","KevinByrne@printricityspo.onmicrosoft.com",
"https://printricityspo.sharepoint.com/search","Style Library","AudioPreview.png","/search/Style Library/Media Player/AudioPreview.png","0","1/15/2026 12:00:47 PM","","2026-01-15T12:00:47Z","",
"https://printricityspo.sharepoint.com/search","Style Library","VideoPreview.png","/search/Style Library/Media Player/VideoPreview.png","0","1/15/2026 12:00:47 PM","","2026-01-15T12:00:47Z","",
"https://printricityspo.sharepoint.com/search","Style Library","MediaWebPartPreview.png","/search/Style Library/Media Player/MediaWebPartPreview.png","0","1/15/2026 12:00:47 PM","","2026-01-15T12:00:47Z","",
"https://printricityspo.sharepoint.com/sites/aisearchdemo","Documents","a4_metrolinkmap_railwayorder.png","/sites/aisearchdemo/Shared Documents/a4_metrolinkmap_railwayorder.png","0.32","3/5/2026 1:08:43 AM","KevinByrne@printricityspo.onmicrosoft.com","2026-03-05T01:08:43Z","KevinByrne@printricityspo.onmicrosoft.com",
"https://printricityspo.sharepoint.com/sites/aisearchdemo","Site Assets","report-default-image1.jpg","/sites/aisearchdemo/SiteAssets/SitePages/TopicHome(1)/_SiteTemplates/topic/report-default-image1.jpg","0.08","3/5/2026 1:08:20 AM","KevinByrne@printricityspo.onmicrosoft.com","2026-03-05T01:08:20Z","KevinByrne@printricityspo.onmicrosoft.com",
"https://printricityspo.sharepoint.com/sites/aisearchdemo","Site Assets","report-default-image3.jpg","/sites/aisearchdemo/SiteAssets/SitePages/TopicHome(1)/_SiteTemplates/topic/report-default-image3.jpg","0.01","3/5/2026 1:08:20 AM","KevinByrne@printricityspo.onmicrosoft.com","2026-03-05T01:08:20Z","KevinByrne@printricityspo.onmicrosoft.com",
"https://printricityspo.sharepoint.com/sites/aisearchdemo","Site Assets","report-default-image4.jpg","/sites/aisearchdemo/SiteAssets/SitePages/TopicHome(1)/_SiteTemplates/topic/report-default-image4.jpg","0.02","3/5/2026 1:08:20 AM","KevinByrne@printricityspo.onmicrosoft.com","2026-03-05T01:08:20Z","KevinByrne@printricityspo.onmicrosoft.com",
"https://printricityspo.sharepoint.com/sites/aisearchdemo","Site Assets","report-default-image5.jpg","/sites/aisearchdemo/SiteAssets/SitePages/TopicHome(1)/_SiteTemplates/topic/report-default-image5.jpg","0.02","3/5/2026 1:08:21 AM","KevinByrne@printricityspo.onmicrosoft.com","2026-03-05T01:08:20Z","KevinByrne@printricityspo.onmicrosoft.com",
"https://printricityspo.sharepoint.com/sites/allcompany","Site Assets","__siteIcon__.png","/sites/allcompany/SiteAssets/__siteIcon__.png","0.01","1/28/2026 1:49:53 PM","","2026-01-28T13:49:52Z","",
"https://printricityspo.sharepoint.com/sites/appcatalog","Style Library","AudioPreview.png","/sites/appcatalog/Style Library/Media Player/AudioPreview.png","0","4/9/2026 2:47:28 PM","","2026-04-09T14:47:29Z","",
"https://printricityspo.sharepoint.com/sites/appcatalog","Style Library","VideoPreview.png","/sites/appcatalog/Style Library/Media Player/VideoPreview.png","0","4/9/2026 2:47:28 PM","","2026-04-09T14:47:29Z","",
"https://printricityspo.sharepoint.com/sites/appcatalog","Style Library","MediaWebPartPreview.png","/sites/appcatalog/Style Library/Media Player/MediaWebPartPreview.png","0","4/9/2026 2:47:28 PM","","2026-04-09T14:47:29Z","",
"https://printricityspo.sharepoint.com/sites/groupforanswersinvivaengagedonotdelete83251544065105","Documents","Document.docx","/sites/groupforanswersinvivaengagedonotdelete83251544065105/Shared Documents/Document.docx","0.02","3/5/2026 1:03:04 AM","KevinByrne@printricityspo.onmicrosoft.com","2026-03-05T01:03:03Z","KevinByrne@printricityspo.onmicrosoft.com",
"https://printricityspo.sharepoint.com/sites/groupforanswersinvivaengagedonotdelete83251544065105","Documents","a4_metrolinkmap_railwayorder.png","/sites/groupforanswersinvivaengagedonotdelete83251544065105/Shared Documents/a4_metrolinkmap_railwayorder.png","0.32","3/5/2026 1:03:13 AM","KevinByrne@printricityspo.onmicrosoft.com","2026-03-05T01:03:13Z","KevinByrne@printricityspo.onmicrosoft.com",
"https://printricityspo.sharepoint.com/sites/groupforanswersinvivaengagedonotdelete83251544065105","Site Assets","__siteIcon__.png","/sites/groupforanswersinvivaengagedonotdelete83251544065105/SiteAssets/__siteIcon__.png","0.01","3/9/2026 12:15:39 PM","","2026-03-05T01:02:45Z","",
